Культура,Посадка,Полив,Удобрение,Сбор урожая
Картофель,18.05.2026,25.05.2026,01.06.2026,16.08.2026
Морковь,18.05.2026,28.05.2026,08.06.2026,06.08.2026
Огурцы,18.05.2026,21.05.2026,25.05.2026,12.07.2026
айуц3а,19.05.2026,22.06.2026,22.07.2026,08.02.2027
куце,22.05.2026,03.06.2026,12.06.2026,20.08.2026
Зелень,18.05.2026,22.05.2026,30.05.2026,27.06.2026
Лук,18.05.2026,26.05.2026,05.06.2026,11.08.2026
Помидоры,18.05.2026,23.05.2026,28.05.2026,27.07.2026
Чеснок,18.05.2026,27.05.2026,07.06.2026,05.09.2026
r2134r21,19.05.2026,02.06.2026,09.06.2026,17.08.2026
Свекла,18.05.2026,26.05.2026,03.06.2026,01.08.2026
